Yun Ki-Wook | 윤기욱 | FC Seoul | Goalkeeper | 71
Lee Sang-Min | 이상민 | FC Seoul | Defender | 4
Yazan Al Arab | 야잔 | FC Seoul | Defender | 5
Choi Jun | 최준 | FC Seoul | Defender | 16
Ahn Jae-Min | 안재민 | FC Seoul | Defender | 17
Lee Han-Do | 이한도 | FC Seoul | Defender | 20
Kim Jin-Su | 김진수 | FC Seoul | Defender | 22
J. Ros | 로스 | FC Seoul | Defender | 37
Park Seong-Hun | 박성훈 | FC Seoul | Defender | 40
Park Soo-Il | 박수일 | FC Seoul | Defender | 66
Kim Ji-Won | 김지원 | FC Seoul | Midfielder | 36
H. Babec | 바베츠 | FC Seoul | Midfielder | 6
Jeong Seung-Won | 정승원 | FC Seoul | Midfielder | 7
Lee Seung-Mo | 이승모 | FC Seoul | Midfielder | 8
Ko Pil-Gwan | 고필관 | FC Seoul | Midfielder | 23
Hwang Do-Yoon | 황도윤 | FC Seoul | Midfielder | 41
Son Jeong-Beom | 손정범 | FC Seoul | Midfielder | 42
Park Jang Han-Gyeol | 박장한결 | FC Seoul | Midfielder | 88
Anderson Oliveira | 안데르손 | FC Seoul | Midfielder | 10
Moon Seon-Min | 문선민 | FC Seoul | Midfielder | 27
Song Min-Kyu | 송민규 | FC Seoul | Midfielder | 34
G. Samuel | 바또 | FC Seoul | Midfielder | 99
P. Klimala | 클리말라 | FC Seoul | Forward | 9
Cho Young-Wook | 조영욱 | FC Seoul | Forward | 18
Cheon Seong-Hoon | 천성훈 | FC Seoul | Forward | 19
L. Ruiz | 후이즈 | FC Seoul | Forward | 11

Baek Jong-Beom | 백종범 | Gimcheon Sangmu FC | Goalkeeper | 1
Moon Hyun-Ho | 문현호 | Gimcheon Sangmu FC | Goalkeeper | 37
Park Man-Ho | 박만호 | Gimcheon Sangmu FC | Goalkeeper | 41
Ahn Joon-Soo | 안준수 | Gimcheon Sangmu FC | Goalkeeper | 51
Park Cheol-Woo | 박철우 | Gimcheon Sangmu FC | Defender | 3
Kim Hyun-Woo | 김현우 | Gimcheon Sangmu FC | Defender | 4
Kim Min-Kyu | 김민규 | Gimcheon Sangmu FC | Defender | 5
Kim Tae-Hwan | 김태환 | Gimcheon Sangmu FC | Defender | 11
Lee Chan-Ouk | 이찬욱 | Gimcheon Sangmu FC | Defender | 20
Lee Jung-Taek | 이정택 | Gimcheon Sangmu FC | Defender | 26
Park Jin-Seong | 박진성 | Gimcheon Sangmu FC | Defender | 33
Hong Si-Hoo | 홍시후 | Gimcheon Sangmu FC | Defender | 42
Kim Seo-Jin | 김서진 | Gimcheon Sangmu FC | Defender | 43
Park Min-Seo | 박민서 | Gimcheon Sangmu FC | Defender | 44
Byeon Jun-Soo | 변준수 | Gimcheon Sangmu FC | Defender | 45
Yoon Jae-Seok | 윤재석 | Gimcheon Sangmu FC | Defender | 54
Min Kyung-Hyun | 민경현 | Gimcheon Sangmu FC | Midfielder | 2
Lee Soo-Bin | 이수빈 | Gimcheon Sangmu FC | Midfielder | 6
Kim Yi-Seok | 김이석 | Gimcheon Sangmu FC | Midfielder | 8
Park Se-Jin | 박세진 | Gimcheon Sangmu FC | Midfielder | 14
Lim Dug-Keun | 임덕근 | Gimcheon Sangmu FC | Midfielder | 15
Chung Ma-Ho | 정마호 | Gimcheon Sangmu FC | Midfielder | 46
Roh Kyung-Ho | 노경호 | Gimcheon Sangmu FC | Midfielder | 53
Park Tae-Jun | 박태준 | Gimcheon Sangmu FC | Midfielder | 55
Lee Kang-Hyun | 이강현 | Gimcheon Sangmu FC | Midfielder | 56
Go Jae-Hyeon | 고재현 | Gimcheon Sangmu FC | Midfielder | 7
Jeon Byung-Kwan | 전병관 | Gimcheon Sangmu FC | Midfielder | 10
Kim Joo-Chan | 김주찬 | Gimcheon Sangmu FC | Midfielder | 17
Kim In-Gyun | 김인균 | Gimcheon Sangmu FC | Midfielder | 21
Lee Sang-Heon | 이상헌 | Gimcheon Sangmu FC | Midfielder | 22
Hong Yun-Sang | 홍윤상 | Gimcheon Sangmu FC | Midfielder | 48
Kang Min-Geu | 강민규 | Gimcheon Sangmu FC | Midfielder | 49
Kang Ju-Hyeok | 강주혁 | Gimcheon Sangmu FC | Midfielder | 50
Park Yong-Hui | 박용희 | Gimcheon Sangmu FC | Midfielder | 58
Lee Kun-Hee | 이건희 | Gimcheon Sangmu FC | Forward | 9
Jung Jae-Min | 정재민 | Gimcheon Sangmu FC | Forward | 57

Park Cheong-Hyo | 박청효 | Gangwon FC | Goalkeeper | 1
Kim Jung-Hoon | 김정훈 | Gangwaon FC | Goalkeeper | 21
Cho Min-Kyu | 조민규 | Gangwon FC | Goalkeeper | 51
Hong Jin-Hyeok | 홍진혁 | Gangwon FC | Goalkeeper | 31
Kim Yu-Sung | 김유성 | Gangwon FC | Goalkeeper | 41
Jung Seong-Bin | 정승빈 | Gangwon FC | Defender | 3
Lee Gi-Hyuk | 이기혁 | Gangwon FC | Defender | 13
Jo Hyun-Tae | 조현태 | Gangwon FC | Defender | 20
M. Tuci | 강투지 | Gangwon FC | Defender | 23
Park Ho-Young | 박호영 | Gangwon FC | Defender | 24
Lee Hyo-Bin | 이효빈 | Gangwon FC | Defender | 25
Kim Do-Hyun | 김도현 | Gangwon FC | Defender | 27
Hong Chul | 홍철 | Gangwon FC | Defender | 33
Song Jun-Seok | 송준석 | Gangwon FC | Defender | 34
Lee Jeong-Hyun | 이정현 | Gangwon FC | Defender | 45
Kim Eo-Jin | 김어진 | Gangwon FC | Defender | 46
Shin Min-Ha | 신민하 | Gangwon FC | Defender | 47
Kang Joon-Hyuck | 강준혁 | Gangwon FC | Defender | 99
Seo Min-Woo | 서민우 | Gangwon FC | Midfielder | 4
Kim Dong-Hyun | 김동현 | Gangwon FC | Midfielder | 6
Lee Seung-Won | 이승원 | Gangwon FC | Midfielder | 8
Kang Yun-Gu | 강윤구 | Gangwon FC | Midfielder | 14
Kim Tae-Hwan | 김태환 | Gangwon FC | Midfielder | 16
Yeo Jun-Yeop | 여준엽 | Gangwon FC | Midfielder | 30
Won Hee-Do | 원희도 | Gangwon FC | Midfielder | 40
Lee Yong-Jae | 이용재 | Gangwon FC | Midfielder | 57
Hwang Eun-Chong | 황은총 | Gangwon FC | Midfielder | 66
Lee You-Hyeon | 이유현 | Gangwon FC | Midfielder | 97
Kim Dae-Won | 김대원 | Gangwon FC | Midfielder | 7
Mo Jae-Hyeon | 모재현 | Gangwon FC | Midfielder | 10
Goh Young-Jun | 고영준 | Gangwon FC | Midfielder | 11
Lee Eun-Ho | 이은호 | Gangwon FC | Midfielder | 17
Cho Won-Woo | 조원우 | Gangwon FC | Midfielder | 26
Lee Ji-Ho | 이지호 | Gangwon FC | Midfielder | 39
Choe Byeong-Chan | 최병찬 | Gangwon FC | Midfielder | 96
Choe Ji-Nam | 최지남 | Gangwon FC | Midfielder | 74
Yoo Byung-Heon | 유병헌 | Gangwon FC | Forward | 22
Abdallah Halaihal | 아부달라 | Gangwon FC | Forward | 77
Kim Gun-Hee | 김건희 | Gangwon FC | Forward | 9
Jin Jun-Seo | 진준서 | Gangwon FC | Forward | 15
Park Sang-Hyeok | 박상혁 | Gangwon FC | Forward | 19

Hwang In-Jae | 황인제 | Pohang Steelers | Goalkeeper | 21
Yun Pyeong-Gook | 윤평국 | Pohang Steelers | Goalkeeper | 1
Lee Seung-Hwan | 이승환 | Pohang Steelers | Goalkeeper | 23
Hong Seong-Min | 홍성민 | Pohang Steelers | Goalkeeper | 29
Kwon Neung | 권능 | Pohang Steelers | Goalkeeper | 91
Cho Young-Jun | 조영준 | Pohang Steelers | Defender | 32
Park Chan-Yong | 박찬용 | Pohang Steelers | Defender | 20
Jeon Min-Gwang | 전민광| Pohang Steelers | Defender | 4
Han Hyeon-Seo | 한현서 | Pohang Steelers | Defender | 24
Jin Si-Woo | 진시우 | Pohang Steelers | Defender | 5
Jo Sung-Wook | 조성욱 | Pohang Steelers | Defender | 33
