Kim Intae | 김인태 | 두산 | Outfielder | 33
Kim Minseok | 김민석 | 두산 | Outfielder | 2
Son Ahseop | 손아섭 | 두산 | Outfielder | 8
Choi Minseok | 최민석 | 두산 | Pitcher | 68
Choi Seungyong | 최승용 | 두산 | Pitcher | 28
Ichiro Tamura | 타무라 | 두산 | Pitcher | 18
Kim Jeongwoo | 김정우 | 두산 | Pitcher | 16
Kim Taekyeon | 김택연 | 두산 | Pitcher | 63
Kwak Been | 곽빈 | 두산 | Pitcher | 47
Lee Byeongheon | 이병헌 | 두산 | Pitcher | 29
Lee Yongchan | 이용찬 | 두산 | Pitcher | 45
Lee Youngha | 이영하 | 두산 | Pitcher | 50
Park Jungsoo | 박정수 | 두산 | Pitcher | 17
Park Shinji | 박신지 | 두산 | Pitcher | 49
Yang Jaehoon | 양재훈 | 두산 | Pitcher | 30
Yoon Taeho | 윤태호 | 두산 | Pitcher | 65
Zach Logue | 잭로그 | 두산 | Pitcher | 39
Choi Jikang | 최지강 | 두산 | Pitcher | 42
Choi Junho | 최준호 | 두산 | Pitcher | 59
Wes Benjamin | 벤자민 | 두산 | Pitcher | 25
Chris Flexen | 플렉센 | 두산 | Pitcher | 77
Cheon Hyeonjae |  | 두산 | Catcher | 0
Jang Gyubin |  | 두산 | Catcher | 0
Kim Seongjae |  | 두산 | Catcher | 0
Lee Heeseong |  | 두산 | Catcher | 0
Park Minjoon |  | 두산 | Catcher | 0
Park Seoungjae |  | 두산 | Catcher | 0
Ryu Hyunjun |  | 두산 | Catcher | 0
Han Dahyun |  | 두산 | Infielder | 0
Ji Kanghyeok |  | 두산 | Infielder | 0
Kim Junsang |  | 두산 | Infielder | 0
Kim Minhyeok |  | 두산 | Infielder | 0
Lee Seonwoo |  | 두산 | Infielder | 0
Nam Taewoong |  | 두산 | Infielder | 0
Park Gyebeom |  | 두산 | Infielder | 0
Shin Minchul |  | 두산 | Infielder | 0
Sim Geonbo |  | 두산 | Infielder | 0
Hong Seongho |  | 두산 | Outfielder | 0
Jeon Damin |  | 두산 | Outfielder | 0
Joo Yangjun |  | 두산 | Outfielder | 0
Kim Daehan |  | 두산 | Outfielder | 0
Kim Dongjun |  | 두산 | Outfielder | 0
Kim Joooh |  | 두산 | Outfielder | 0
Kim Munsu |  | 두산 | Outfielder | 0
Lim Hyeoncheol |  | 두산 | Outfielder | 0
